Marca temporal,Cuál es tu nivel de estudios,Qué ingeniería estudias/estudiaste,En qué universidad cursas/cursaste tu carrera de grado,Género,Trabajás en el rubro de la ingeniería que estudias/estudiaste,Tenés más de un trabajo,Cuál es tu situación particular de contratación,Es tu primer trabajo en el rubro,Tu empleador te paga el monotributo,Tu empleador respeta alguno de los siguientes derechos laborales,Cuántas horas trabajás por semana aproximadamente,Cuántos años de experiencia tenés en el rol (o en el rubro pero que sumen para tu rol),Tenés otras personas a cargo,Hacés home office,"Te dan alguno de estos ""beneficios""",Estás enmarcado/a en algún convenio,Te parece que la remuneración que recibís por tu trabajo es acorde a las horas que trabajás y las tareas que realizás,Cómo definís cuánto cobrás tus trabajos,Si podés definirlo: en promedio cuál es tu honorario por hora,Si querés dejanos algún comentario,Edad,¿tenés otros estudios relacionados con tu carrera,Ubicación de tu trabajo,Empleador,Remuneración mensual,Sector,Rol o área
2024-10-18 14:37:40.175,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Mecánica,UTN,Mujer,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,3 a 5 años de experiencia,No,No,"Comedor/vianda/plus por comida, Capacitaciones, Indumentaria",No,No,,,,33.0,Cursos/Capacitaciones,,Estado,825000.0,Diseño/Proyecto,Personal calificado
2024-10-18 14:39:26.561,Graduado/a,Electrónica,UTN,Hombre,Empleado,No,Monotributista,No,"No. Lo pago yo, lo descuento de mi sueldo.",Ninguno,45.0,3 a 5 años de experiencia,No,"Sí, casi siempre o siempre",Flexibilidad horaria,No,Sí,,,,26.0,,,Empresa Extranjera,3550000.0,Desarrollo de sistemas embebidos,
2024-10-18 14:39:29.342,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Hombre,Empleado,No,Monotributista,Sí,Si,"Vacaciones pagas, Días de vacaciones según antigüedad, Aguinaldo, Días de estudio pagos, Días por enfermedad pagos",35.0,1 o 2 años de experiencia,No,No,No,No,No,,,,24.0,,,Empresa Nacional PyME,900000.0,Reparacion electronica industrial ,
2024-10-18 14:40:14.294,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Industrial,UTN,Hombre,Freelance,No,,,,,40.0,1 o 2 años de experiencia,De 4 a 10,,,,,Cobro por hora de trabajo,22000.0,"Hay que agregarle más preguntas al formulario, pero está bueno… empresa donde se trabaja, área, bonos anuales, beneficios que tiene la empresa…",27.0,Cursos/Capacitaciones,,,3500000.0,,"Planificación, Recursos humanos, Sistemas, Compras, Finanzas, Logística"
2024-10-18 14:40:15.169,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,45.0,3 a 5 años de experiencia,No,1 o 2 días por semana,"Notebook, Viáticos, Capacitaciones, Indumentaria",No,No,,,,29.0,Tecnicatura,,Estado,830000.0,Automatización,
2024-10-18 14:41:43.258,Estudiante cursada finalizada (sólo adeudo finales),Industrial,UTN,Mujer,Empleado,No,Monotributista,No,"No. Lo pago yo, lo descuento de mi sueldo.","Días de vacaciones según antigüedad, Días de estudio pagos, Días por enfermedad pagos",35.0,6 a 10 años de experiencia,De 4 a 10,1 o 2 días por semana,"Capacitaciones, Flexibilidad horaria",No,No,,,,33.0,Cursos/Capacitaciones,,Estado,1050000.0,Servicios,Compras
2024-10-18 14:41:58.962,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,9.0,1 o 2 años de experiencia,No,No,No,No,Sí,,,,24.0,,,Constructora Nacional PyME,747000.0,Estructuras trancitorias,Asistente técnico de documentación o proyectos
2024-10-18 14:42:26.446,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Monotributista,No,"No. Lo pago yo, lo descuento de mi sueldo.",Ninguno,40.0,6 a 10 años de experiencia,No,1 o 2 días por semana,No,No,No,,,,34.0,,,Consultora Nacional PyME,800000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,"Dibujante, Asistente técnico de documentación o proyectos"
2024-10-18 14:42:32.243,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,3 a 5 años de experiencia,No,No,No,UECARA,No,,,,25.0,Cursos/Capacitaciones,,Consultora Extranjera,900000.0,"Proyectos sociales: vivienda social, urbanización, Industria energética, Industrias en general, no energética, Infraestructura de servicios, Infraestructura vial o ferroviaria, Infraestructura aeroportuaria","Computista o presupuestista, Asistente técnico de documentación o proyectos"
2024-10-18 14:42:59.815,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,1 o 2 años de experiencia,No,1 o 2 días por semana,"Notebook, Celular, Día libre de cumpleaños, Capacitaciones, Flexibilidad horaria",No,,,,,27.0,Cursos/Capacitaciones,,Empresa Multinacional,1050000.0,Desarrollo de sistemas embebidos,
2024-10-18 14:43:14.019,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Mecánica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,45.0,No tengo experiencia o tengo menos de un año de experiencia,No,1 o 2 días por semana,"Notebook, Indumentaria, Flexibilidad horaria",No,Sí,,,,29.0,Tecnicatura,,Empresa Nacional PyME,1150000.0,Logística,Analista
2024-10-18 14:43:56.852,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Industrial,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,1 o 2 años de experiencia,No,3 o 4 días por semana,"Notebook, Celular, Día libre de cumpleaños, Flexibilidad horaria",No,No,,,,26.0,"Tecnicatura, Cursos/Capacitaciones",,Empresa Nacional Grande,1170000.0,Construcción,Planificación
2024-10-18 14:43:58.090,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Industrial,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,No,"Sí, casi siempre o siempre","Notebook, Celular, Bonos por objetivos, Viáticos, Capacitaciones, Indumentaria, Flexibilidad horaria",UTEDyC,Sí,,,"En el campo de tipo de organización, faltan más opciones, u otras. Yo x ejemplo, trabajo en una asociación civil",39.0,Licenciatura,,Cooperativa,1300000.0,ONG Medio Ambiente,Gestión de la organización
2024-10-18 14:46:02.247,Estudiante cursada finalizada (sólo adeudo finales),Industrial,UTN,Mujer,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,1 o 2 años de experiencia,De 1 a 3,No,Celular,UOM,No,,,,27.0,,,Empresa Nacional PyME,1600000.0,Metalúrgica,Producción
2024-10-18 14:46:25.144,Estudiante (mayoritariamente 1er a 3er Nivel),Telecomunicaciones ,Unsam,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,6 a 10 años de experiencia,De 4 a 10,No,"Notebook, Celular, Bonos por objetivos",No,Sí,,,,28.0,,,Empresa Nacional Grande,2000000.0,Electrica,Supervisor 
2024-10-18 14:46:55.903,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Industrial,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,20.0,3 a 5 años de experiencia,No,No,"Notebook, Día libre de cumpleaños, Comedor/vianda/plus por comida",No,Sí,,,"Incluir la exigencia del nivel de ingles. Muchas empresas piden ingles avanzado excluyente, por lo que ya no alcanza con solo estudiar Ingeniería.",26.0,,,Empresa Multinacional,619000.0,Automotriz,Producción
2024-10-18 14:47:19.558,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,1 o 2 años de experiencia,No,1 o 2 días por semana,No,UOM,No,,,Envienme los resultados ,25.0,Tecnicatura,,Empresa Nacional PyME,850000.0,Desarrollo de sistemas embebidos,
2024-10-18 14:48:15.682,Graduado/a,Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,45.0,1 o 2 años de experiencia,No,1 o 2 días por semana,"Comedor/vianda/plus por comida, Capacitaciones",No,No,,,,25.0,Cursos/Capacitaciones,,Constructora Nacional Grande,1050000.0,"Industrias en general, no energética",Proyectista estructural/Calculista
2024-10-18 14:48:56.879,Graduado/a,Industrial,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,No,1 o 2 días por semana,"Notebook, Bonos por objetivos, Vacaciones adicionales",Bancario,Sí,,,,29.0,,,Empresa Multinacional,2260000.0,Bancario,Business y data associate
2024-10-18 14:50:14.877,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Mecánica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,Más de 10 años de experiencia,De 1 a 3,No,"Viáticos, Capacitaciones",No,No,,,,33.0,Cursos/Capacitaciones,,Estado,1050000.0,Mantenimiento,Personal especializado
2024-10-18 14:51:26.977,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Hombre,Freelance,Sí,,,,,20.0,1 o 2 años de experiencia,No,,,,,Cobro por trabajo finalizado,10000.0,,23.0,,,,500000.0,"Automatización, Robótica",
2024-10-18 14:54:34.223,Estudiante cursada finalizada (sólo adeudo finales),Industrial,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,40.0,6 a 10 años de experiencia,No,"Sí, casi siempre o siempre","Notebook, Celular, Día libre de cumpleaños, Comedor/vianda/plus por comida",No,Sí,,,,35.0,,,Empresa Multinacional,2200000.0,Healthcare,Compras
2024-10-18 14:55:07.228,Estudiante (mayoritariamente 1er a 3er Nivel),Sistemas/Informática,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,De 1 a 3,1 o 2 días por semana,Notebook,UOM,No,,,,27.0,Cursos/Capacitaciones,,Empresa Nacional Grande,1300000.0,"Infraestructura de servicios, Base de datos",Soporte IT
2024-10-18 14:56:03.752,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,6 a 10 años de experiencia,De 1 a 3,No,"Notebook, Flexibilidad horaria",No,No,,,,30.0,Tecnicatura,,Empresa Nacional Grande,2000000.0,Transporte,
2024-10-18 14:56:27.161,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Industrial,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,45.0,3 a 5 años de experiencia,No,1 o 2 días por semana,"Notebook, Día libre de cumpleaños, Comedor/vianda/plus por comida, Indumentaria",No,Sí,,,,27.0,,,Empresa Multinacional,2000000.0,Automotriz,Logística
2024-10-18 14:56:34.680,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,No tengo experiencia o tengo menos de un año de experiencia,No,No,"Notebook, Celular, Comedor/vianda/plus por comida, Viáticos, Capacitaciones, Indumentaria, Vacaciones adicionales, Flexibilidad horaria, 3 a 4 sueldos",No,Sí,,,,23.0,,,Constructora Nacional PyME,790000.0,Ingenieria Sanitaria,"Proyectista estructural/Calculista, Dibujante, Computista o presupuestista, Asistente técnico de documentación o proyectos"
2024-10-18 14:58:06.245,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Mujer,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,1 o 2 años de experiencia,Más de 10,1 o 2 días por semana,"Notebook, Celular, Comedor/vianda/plus por comida, Capacitaciones, Indumentaria, Flexibilidad horaria",SMATA,Sí,,,,24.0,Cursos/Capacitaciones,,Empresa Multinacional,1200000.0,Seguridad e Higiene,
2024-10-18 14:58:49.213,Graduado/a,Eléctrica,UTN,Hombre,Empleado,Sí,Monotributista,No,Si,"Vacaciones pagas, Días de vacaciones según antigüedad, Aguinaldo, Días de estudio pagos, Días por enfermedad pagos",45.0,3 a 5 años de experiencia,No,"Sí, casi siempre o siempre","Notebook, Capacitaciones, Flexibilidad horaria",No,Sí,,,,31.0,Cursos/Capacitaciones,,Empresa Nacional PyME,2000000.0,Energía - distribución,Investigador/a
2024-10-18 14:58:54.948,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Industrial,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,45.0,1 o 2 años de experiencia,Más de 10,No,"Notebook, Celular",STIA,Sí,,,,33.0,,,Empresa Nacional PyME,2500000.0,Papelera,Producción
2024-10-18 14:59:43.578,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,20.0,3 a 5 años de experiencia,No,1 o 2 días por semana,"Vacaciones adicionales, Flexibilidad horaria",No,Sí,,,,30.0,,,Empresa Nacional PyME,1700000.0,Desarrollo de sistemas embebidos,
2024-10-18 15:01:27.269,Estudiante cursada finalizada (sólo adeudo finales),Mecánica,UTN,Mujer,Empleado,No,Relación de dependencia registrada,Sí,,,45.0,3 a 5 años de experiencia,No,1 o 2 días por semana,"Notebook, Día libre de cumpleaños, Bonos por objetivos, Comedor/vianda/plus por comida, Viáticos, Capacitaciones, Indumentaria, Flexibilidad horaria",APS,Sí,,,,28.0,,,Empresa Multinacional,2000000.0,Calidad,Personal especializado
2024-10-18 15:02:41.387,Graduado/a posgrado en curso,Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,1 o 2 años de experiencia,No,1 o 2 días por semana,"Notebook, Comedor/vianda/plus por comida, Indumentaria, Flexibilidad horaria",No,No,,,,33.0,Cursos/Capacitaciones,,Contratista de empresa del estado,1660000.0,Gestión de RSU,"Asistente técnico de documentación o proyectos, Planificación o gestión de proyectos"
2024-10-18 15:03:03.724,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,3 a 5 años de experiencia,No,3 o 4 días por semana,"Notebook, Día libre de cumpleaños, Viáticos, Capacitaciones, Flexibilidad horaria",No,No,,,,28.0,Cursos/Capacitaciones,,Empresa Nacional Grande,1300000.0,Desarrollo de sistemas embebidos,
2024-10-18 15:04:10.556,Graduado/a,Civil/Construcciones,UNS,Mujer,Empleado,No,Relación de dependencia registrada,No,,,40.0,1 o 2 años de experiencia,No,"Sí, casi siempre o siempre","Notebook, Capacitaciones, Flexibilidad horaria",No,Sí,,,Como consejo estaría bueno diferenciar ciudades/ regiones en la que se hace el cuestionario. Cambia mucho el sueldo dependiendo de eso mismo. Un mi caso la empresa es de Neuquen,26.0,Cursos/Capacitaciones,,Consultora Nacional PyME,1350000.0,Industria energética,"Proyectista estructural/Calculista, Dibujante"
2024-10-18 15:05:34.589,Graduado/a,Civil/Construcciones,UTN,Mujer,Empleado,No,Monotributista,No,Si,Ninguno,40.0,1 o 2 años de experiencia,No,1 o 2 días por semana,Flexibilidad horaria,No,No,,,,27.0,Cursos/Capacitaciones,,Consultora Nacional PyME,1300000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,Proyectista estructural/Calculista
2024-10-18 15:08:46.660,Graduado/a,Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,50.0,3 a 5 años de experiencia,De 1 a 3,No,"Notebook, Celular, Comedor/vianda/plus por comida",UECARA,No,,,,31.0,Cursos/Capacitaciones,,Constructora Nacional Grande,1300000.0,Infraestructura vial o ferroviaria,Jefe/a de obra o de sector
2024-10-18 15:09:28.468,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Industrial,UTN,Hombre,Empleado,No,Monotributista,No,Si,"Vacaciones pagas, Aguinaldo, Días de estudio pagos, Días por enfermedad pagos",20.0,No tengo experiencia o tengo menos de un año de experiencia,No,3 o 4 días por semana,"No, Flexibilidad horaria",No,No,,,,22.0,,,Empresa Nacional PyME,450000.0,Servicios,Logística
2024-10-18 15:09:49.716,Graduado/a posgrado en curso,Civil/Construcciones,UNLP,Mujer,Empleado,Sí,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,No,3 o 4 días por semana,Notebook,No,No,,,,26.0,,,Consultora Extranjera,875000.0,"Industrias en general, no energética",Proyectista de infraestructura hidráulica
2024-10-18 15:11:10.590,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,20.0,No tengo experiencia o tengo menos de un año de experiencia,No,1 o 2 días por semana,"Notebook, Día libre de cumpleaños, Bonos por objetivos, Capacitaciones, Vacaciones adicionales, Flexibilidad horaria",No,Sí,,,,24.0,Tecnicatura,,Empresa Multinacional,622500.0,Mantenimiento de redes,
2024-10-18 15:13:59.615,Graduado/a posgrado en curso,Civil/Construcciones,UTN,Hombre,Empleado,No,Monotributista,No,"No. Lo pago yo, lo descuento de mi sueldo.","Aguinaldo, Ninguno",50.0,6 a 10 años de experiencia,No,No,Indumentaria,No,No,,,"En mi caso he trabajado en obras y como ingeniero no tuve ningun plus ni beneficio ni nada y es exactamente lo mismo si ponen a un maestro mayor de obras u arquitecto, esto pasa en muchas empresas constructoras.
También me ha pasado de cobrar lo mismo que seguridad e higiene y el administrativo siendo yo jefe de ellos.. ",34.0,Cursos/Capacitaciones,,Constructora Nacional PyME,900000.0,"Desarrollos inmobiliarios: vivienda privada u oficinas, Industrias en general, no energética","Jefe/a de obra o de sector, Computista o presupuestista, Inspección de obra, Planificación o gestión de proyectos"
2024-10-18 15:14:17.667,Estudiante (mayoritariamente 1er a 3er Nivel),Industrial,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,6 a 10 años de experiencia,De 1 a 3,No,"Bonos por objetivos, Viáticos, Capacitaciones, Vacaciones adicionales",SGBATOS,No,,,,28.0,Tecnicatura,,Estado,948000.0,Servicios,Planificación
2024-10-18 15:14:24.907,Estudiante (mayoritariamente 1er a 3er Nivel),Industrial,UTN,Mujer,Empleado,No,Relación de dependencia registrada,Sí,,,5.0,1 o 2 años de experiencia,No,3 o 4 días por semana,"Notebook, Día libre de cumpleaños, Comedor/vianda/plus por comida, Flexibilidad horaria",No,Sí,,,"Trabajo 4 horas porque soy pasante, pero puse 5 ",26.0,Cursos/Capacitaciones,,Empresa Multinacional,620000.0,Alimentos y bebidas,Operaciones 
2024-10-18 15:16:21.412,Graduado/a posgrado en curso,Civil/Construcciones,UCA,Mujer,Empleado,No,Relación de dependencia registrada,No,,,35.0,3 a 5 años de experiencia,No,1 o 2 días por semana,"Notebook, Flexibilidad horaria",No,No,,,,30.0,Cursos/Capacitaciones,,Estado,936000.0,"Proyectos sociales: vivienda social, urbanización, Industria energética",Asistente técnico de documentación o proyectos
2024-10-18 15:22:22.650,Estudiante cursada finalizada (sólo adeudo finales),Electrónica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,No,"Sí, casi siempre o siempre","Notebook, Día libre de cumpleaños, Bonos por objetivos, Vacaciones adicionales, Flexibilidad horaria, Máximo de bonos por año = 2 sueldos",No,Sí,,,,31.0,,,Empresa Multinacional,2858000.0,Desarrollo de aplicaciones,
2024-10-18 15:24:22.549,Graduado/a,Industrial,UBA,Mujer,Empleado,No,Relación de dependencia registrada,No,,,45.0,3 a 5 años de experiencia,No,3 o 4 días por semana,"Notebook, Flexibilidad horaria",Comercio,No,,,,30.0,,,Empresa Multinacional,1940000.0,Fintech,Desarrollo de producto
2024-10-18 15:25:05.941,Graduado/a posgrado finalizado,Textil,UTN,Hombre,Empleado,Sí,Relación de dependencia registrada,No,,,40.0,Más de 10 años de experiencia,No,No,"Comedor/vianda/plus por comida, Viáticos, Capacitaciones",Estatal,No,,,,46.0,Cursos/Capacitaciones,,Estado,1400000.0,Textil,Investigador/a
2024-10-18 15:25:20.948,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,45.0,1 o 2 años de experiencia,No,"Sí, casi siempre o siempre","Notebook, Día libre de cumpleaños, Bonos por objetivos, Capacitaciones, Vacaciones adicionales, Flexibilidad horaria, gimnasio, osde, clases de ingles",No,Sí,,,,25.0,,,Empresa Nacional PyME,1500000.0,Ingeniería de datos - Machine Learning,
2024-10-18 15:26:20.435,Graduado/a,Civil/Construcciones,UTN,Hombre,Empleado,No,Monotributista,No,"No. Lo pago yo, lo descuento de mi sueldo.",Ninguno,35.0,3 a 5 años de experiencia,No,"Sí, casi siempre o siempre",No,No,No,,,,30.0,,,Trabajo para una persona,1600000.0,Estructuras de casas y edificios,Proyectista estructural/Calculista
2024-10-18 15:26:22.008,Estudiante cursada finalizada (sólo adeudo finales),Electrónica,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,40.0,Más de 10 años de experiencia,De 4 a 10,No,No,No,No,,,,40.0,"Tecnicatura, Cursos/Capacitaciones",,Estado,1100000.0,Investigación,
2024-10-18 15:27:05.841,Graduado/a posgrado finalizado,Civil/Construcciones,UBA,Hombre,Empleado,No,Relación de dependencia registrada,No,,,9.0,Más de 10 años de experiencia,Más de 10,No,"Celular, Viáticos, Indumentaria",APDFA,No,,,Suerte ,40.0,Cursos/Capacitaciones,,Constructora Nacional Grande,2000000.0,Infraestructura vial o ferroviaria,"Jefe/a de obra o de sector, Mantenimiento"
2024-10-18 15:27:06.872,Graduado/a posgrado finalizado,Textil,UTN,Mujer,Empleado,Sí,Relación de dependencia registrada,No,,,20.0,Más de 10 años de experiencia,De 1 a 3,"Sí, casi siempre o siempre",No,No,No,,,,46.0,Cursos/Capacitaciones,,Estado,500000.0,Textil,Docente
2024-10-18 15:27:22.567,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Mecánica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,20.0,No tengo experiencia o tengo menos de un año de experiencia,No,No,"Notebook, Comedor/vianda/plus por comida, Capacitaciones, Indumentaria, Vacaciones adicionales, Flexibilidad horaria",No,Sí,,,,26.0,,,Empresa Multinacional,660000.0,Diseño/Proyecto,Pasante
2024-10-18 15:28:48.662,Estudiante cursada finalizada (sólo adeudo finales),Biomédica,UNSAM,Hombre,Empleado,No,Monotributista,Sí,"No. Lo pago yo, lo descuento de mi sueldo.","Vacaciones pagas, Días de estudio pagos, Días por enfermedad pagos",40.0,1 o 2 años de experiencia,No,1 o 2 días por semana,Flexibilidad horaria,No,Sí,,,Por ahí estaría bueno que agreguen la opción del sueldo ponerlo en pesos o usds.,25.0,,,Empresa Nacional PyME,1100000.0,Medicina y ambiental,Investigador/a
2024-10-18 15:28:59.120,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Eléctrica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,6 a 10 años de experiencia,No,1 o 2 días por semana,"Notebook, Celular, Día libre de cumpleaños, Bonos por objetivos, Viáticos, Capacitaciones, Indumentaria, Flexibilidad horaria",No,No,,,,29.0,Cursos/Capacitaciones,,Empresa Nacional Grande,2600000.0,Petrolera,Ingeniero/a de obra
2024-10-18 15:29:13.798,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Biomédica ,UNSAM,Mujer,Empleado,No,Relación de dependencia registrada,Sí,,,6.0,No tengo experiencia o tengo menos de un año de experiencia,No,1 o 2 días por semana,"Notebook, Día libre de cumpleaños, Comedor/vianda/plus por comida, Capacitaciones",Convenio de pasantias,No,,,,23.0,"Tecnicatura, Cursos/Capacitaciones",,Empresa Nacional PyME,395000.0,Medicina,Pasante
2024-10-18 15:29:38.642,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Biomédica,UNSAM,Hombre,Empleado,No,Relación de dependencia registrada,No,,,20.0,1 o 2 años de experiencia,No,No,"Capacitaciones, Flexibilidad horaria",No,Sí,,,,25.0,Cursos/Capacitaciones,,Empresa Nacional PyME,527000.0,Medica - Implantes medicos para artroscopia ,Gestor de proyectos y asistente de gestion de calidad
2024-10-18 15:29:46.737,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UNSAM,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,20.0,1 o 2 años de experiencia,No,No,No,No,No,,,,23.0,Tecnicatura,,Empresa Nacional PyME,315000.0,Soluciones tecnologicas,
2024-10-18 15:32:25.360,Graduado/a posgrado en curso,Eléctrica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,42.0,Más de 10 años de experiencia,Más de 10,No,"Notebook, Celular, Viáticos, Capacitaciones, Indumentaria",Estatal,No,,,,50.0,Tecnicatura,,Estado,2000000.0,Energía - distribución,Mantenimiento
2024-10-18 15:32:37.509,Graduado/a,Sonido,UNTREF,Hombre,Empleado,Sí,Monotributista,No,"No. Lo pago yo, lo descuento de mi sueldo.",Ninguno,10.0,1 o 2 años de experiencia,No,3 o 4 días por semana,No,No,No,,,,28.0,Cursos/Capacitaciones,,Empresa Nacional PyME,1100000.0,Neurociencias,Investigador/a
2024-10-18 15:32:49.170,Estudiante (mayoritariamente 1er a 3er Nivel),BIOMEDICA,UNSAM,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,48.0,No tengo experiencia o tengo menos de un año de experiencia,No,No,No,Comercio,No,,,,22.0,,,Empresa Nacional PyME,781000.0,Equipamiento médico,Asistente técnico/a
2024-10-18 15:32:59.191,Graduado/a,Civil/Construcciones,UBA,Hombre,Empleado,No,Monotributista,No,"No. Lo pago yo, lo descuento de mi sueldo.","Vacaciones pagas, Días de vacaciones según antigüedad, Días de estudio pagos, Días por enfermedad pagos",32.0,1 o 2 años de experiencia,No,1 o 2 días por semana,No,No,No,,,,24.0,,,Estado,635000.0,Investigación,"Proyectista de infraestructura hidráulica, Investigador/a"
2024-10-18 15:33:32.559,Estudiante cursada finalizada (sólo adeudo finales),Biomedica,Unsam,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,De 1 a 3,1 o 2 días por semana,"Notebook, Celular, Día libre de cumpleaños, Comedor/vianda/plus por comida, Viáticos, Capacitaciones, Vacaciones adicionales, Flexibilidad horaria",No,No,,,,24.0,Cursos/Capacitaciones,,Empresa Multinacional,1800000.0,Medica,Mantenimiento
2024-10-18 15:34:23.756,Graduado/a,Electrónica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,45.0,1 o 2 años de experiencia,No,"Sí, casi siempre o siempre","Notebook, Comedor/vianda/plus por comida",No,Sí,,,,26.0,,,Empresa Multinacional,2700000.0,Sistemas,
2024-10-18 15:34:41.428,Estudiante cursada finalizada (sólo adeudo finales),Biomedica,ITBA,Mujer,Empleado,No,Relación de dependencia registrada,No,,,6.0,1 o 2 años de experiencia,No,1 o 2 días por semana,"Notebook, Celular, Día libre de cumpleaños, Comedor/vianda/plus por comida, Viáticos",No,No,,,,28.0,,,Empresa Nacional PyME,578000.0,Salud,Asistente técnico/a
2024-10-18 15:34:57.574,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,20.0,1 o 2 años de experiencia,No,No,Flexibilidad horaria,No,No,,,,25.0,Cursos/Capacitaciones,,Estado,430000.0,Sistemas,
2024-10-18 15:36:16.719,Estudiante cursada finalizada (sólo adeudo finales),Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,8.0,1 o 2 años de experiencia,No,No,Flexibilidad horaria,No,No,,,,27.0,,,Constructora Nacional PyME,1000000.0,Infraestructura de servicios,"Computista o presupuestista, Asistente técnico de documentación o proyectos"
